atl_id	date	time	lat	lon	domain_latMin	domain_latMax	domain_lonMin	domain_lonMax
atl_353	2003-01-03	06:00	42.5	312.5	30	60	282.5	402.5
atl_354	2003-01-04	06:00	40	290	30	60	260	380
atl_355	2003-01-11	06:00	45	302.5	30	60	272.5	392.5
atl_356	2003-01-17	18:00	40	292.5	30	60	262.5	382.5
atl_357	2003-01-20	00:00	42.5	300	30	60	270	390
atl_358	2003-02-02	06:00	40	292.5	30	60	262.5	382.5
atl_359	2003-02-19	06:00	40	315	30	60	285	405
atl_360	2003-03-03	00:00	45	290	30	60	260	380
atl_361	2003-03-06	06:00	42.5	300	30	60	270	390
atl_362	2003-03-18	18:00	42.5	305	30	60	275	395
atl_363	2003-03-25	06:00	42.5	330	30	60	300	420
atl_364	2003-03-31	06:00	45	295	30	60	265	385
atl_365	2003-11-05	06:00	42.5	322.5	30	60	292.5	412.5
atl_366	2003-11-13	18:00	45	317.5	30	60	287.5	407.5
atl_367	2003-11-20	18:00	42.5	290	30	60	260	380
atl_368	2003-12-13	18:00	40	330	30	60	300	420
atl_369	2003-12-15	06:00	40	287.5	30	60	257.5	377.5
atl_370	2003-12-18	00:00	40	287.5	30	60	257.5	377.5
atl_371	2004-01-19	06:00	42.5	295	30	60	265	385
atl_372	2004-01-25	06:00	40	305	30	60	275	395
atl_373	2004-02-07	18:00	45	300	30	60	270	390
atl_374	2004-02-13	06:00	42.5	325	30	60	295	415
atl_375	2004-02-22	06:00	42.5	297.5	30	60	267.5	387.5
atl_376	2004-03-07	00:00	45	300	30	60	270	390
atl_377	2004-03-17	06:00	40	292.5	30	60	262.5	382.5
atl_378	2004-11-03	06:00	45	315	30	60	285	405
atl_379	2004-11-05	18:00	45	297.5	30	60	267.5	387.5
atl_380	2004-11-12	00:00	40	310	30	60	280	400
atl_381	2004-11-14	06:00	42.5	297.5	30	60	267.5	387.5
atl_382	2004-11-14	06:00	45	317.5	30	60	287.5	407.5
atl_383	2004-11-18	00:00	42.5	320	30	60	290	410
atl_384	2004-11-19	06:00	42.5	315	30	60	285	405
atl_385	2004-11-25	18:00	40	287.5	30	60	257.5	377.5
atl_386	2004-12-04	06:00	42.5	307.5	30	60	277.5	397.5
atl_387	2004-12-09	00:00	45	302.5	30	60	272.5	392.5
atl_388	2004-12-17	06:00	45	315	30	60	285	405
atl_389	2005-01-07	18:00	45	305	30	60	275	395
atl_390	2005-01-17	06:00	40	295	30	60	265	385
atl_391	2005-01-20	18:00	45	295	30	60	265	385
atl_392	2005-01-27	06:00	40	295	30	60	265	385
atl_393	2005-02-05	18:00	40	305	30	60	275	395
atl_394	2005-02-10	18:00	40	290	30	60	260	380
atl_395	2005-02-13	06:00	42.5	307.5	30	60	277.5	397.5
atl_396	2005-02-15	00:00	40	315	30	60	285	405
atl_397	2005-02-20	00:00	42.5	312.5	30	60	282.5	402.5
atl_398	2005-03-17	06:00	40	325	30	60	295	415
atl_399	2005-03-20	18:00	42.5	325	30	60	295	415
atl_400	2005-03-23	06:00	40	317.5	30	60	287.5	407.5
atl_401	2005-03-24	18:00	40	297.5	30	60	267.5	387.5
atl_402	2005-03-30	06:00	45	297.5	30	60	267.5	387.5
atl_403	2005-11-03	06:00	42.5	307.5	30	60	277.5	397.5
atl_404	2005-11-20	18:00	40	342.5	30	60	312.5	432.5
atl_405	2005-12-07	00:00	42.5	305	30	60	275	395
atl_406	2005-12-10	00:00	42.5	295	30	60	265	385
atl_407	2005-12-14	18:00	45	302.5	30	60	272.5	392.5
atl_408	2005-12-23	06:00	40	317.5	30	60	287.5	407.5
atl_409	2005-12-27	00:00	45	300	30	60	270	390
atl_410	2005-12-30	00:00	40	287.5	30	60	257.5	377.5
atl_411	2006-01-01	18:00	40	300	30	60	270	390
atl_412	2006-01-21	18:00	45	290	30	60	260	380
atl_413	2006-01-26	00:00	42.5	302.5	30	60	272.5	392.5
atl_414	2006-02-03	18:00	45	285	30	60	255	375
atl_415	2006-02-10	18:00	42.5	312.5	30	60	282.5	402.5
atl_416	2006-03-05	06:00	45	317.5	30	60	287.5	407.5
atl_417	2006-03-12	18:00	45	317.5	30	60	287.5	407.5
atl_418	2006-03-15	06:00	45	300	30	60	270	390
atl_419	2006-03-22	00:00	40	317.5	30	60	287.5	407.5
atl_420	2006-11-08	18:00	45	325	30	60	295	415
atl_421	2006-11-24	00:00	40	292.5	30	60	262.5	382.5
atl_422	2006-11-25	00:00	45	307.5	30	60	277.5	397.5
atl_423	2006-11-29	06:00	40	327.5	30	60	297.5	417.5
atl_424	2006-12-08	18:00	45	302.5	30	60	272.5	392.5
atl_425	2006-12-24	06:00	45	297.5	30	60	267.5	387.5
atl_426	2006-12-25	18:00	45	317.5	30	60	287.5	407.5
atl_427	2006-12-27	00:00	45	300	30	60	270	390
atl_428	2007-01-09	00:00	45	295	30	60	265	385
atl_429	2007-01-10	18:00	40	302.5	30	60	272.5	392.5
