wnp_id	date	time	lat	lon	domain_latMin	domain_latMax	domain_lonMin	domain_lonMax
wnp_352	1999-02-10	18:00	45	160	30	60	130	250
wnp_353	1999-02-27	00:00	45	140	30	60	110	230
wnp_354	1999-03-03	00:00	45	165	30	60	135	255
wnp_355	1999-03-06	18:00	45	172.5	30	60	142.5	262.5
wnp_356	1999-03-12	00:00	45	165	30	60	135	255
wnp_357	1999-03-20	18:00	45	160	30	60	130	250
wnp_358	1999-03-30	18:00	45	180	30	60	150	270
wnp_359	1999-11-05	00:00	42.5	155	30	60	125	245
wnp_360	1999-11-10	06:00	45	162.5	30	60	132.5	252.5
wnp_361	1999-11-15	18:00	40	145	30	60	115	235
wnp_362	1999-11-19	00:00	45	155	30	60	125	245
wnp_363	1999-11-25	06:00	42.5	155	30	60	125	245
wnp_364	1999-11-25	06:00	45	140	30	60	110	230
wnp_365	1999-12-01	06:00	45	170	30	60	140	260
wnp_366	1999-12-06	18:00	40	147.5	30	60	117.5	237.5
wnp_367	1999-12-09	06:00	45	140	30	60	110	230
wnp_368	1999-12-20	00:00	42.5	165	30	60	135	255
wnp_369	1999-12-22	00:00	42.5	165	30	60	135	255
wnp_370	1999-12-26	00:00	45	155	30	60	125	245
wnp_371	1999-12-27	06:00	42.5	175	30	60	145	265
wnp_372	2000-01-02	18:00	40	135	30	60	105	225
wnp_373	2000-01-05	06:00	42.5	165	30	60	135	255
wnp_374	2000-01-13	18:00	42.5	145	30	60	115	235
wnp_375	2000-01-16	06:00	42.5	160	30	60	130	250
wnp_376	2000-01-18	18:00	42.5	155	30	60	125	245
wnp_377	2000-01-20	18:00	42.5	152.5	30	60	122.5	242.5
wnp_378	2000-01-30	18:00	40	152.5	30	60	122.5	242.5
wnp_379	2000-01-31	06:00	42.5	167.5	30	60	137.5	257.5
wnp_380	2000-02-04	00:00	42.5	192.5	30	60	162.5	282.5
wnp_381	2000-02-12	18:00	40	175	30	60	145	265
wnp_382	2000-02-15	00:00	45	192.5	30	60	162.5	282.5
wnp_383	2000-02-15	06:00	40	152.5	30	60	122.5	242.5
wnp_384	2000-02-22	06:00	42.5	177.5	30	60	147.5	267.5
wnp_385	2000-02-25	18:00	42.5	172.5	30	60	142.5	262.5
wnp_386	2000-02-26	00:00	45	167.5	30	60	137.5	257.5
wnp_387	2000-03-05	06:00	45	155	30	60	125	245
wnp_388	2000-03-07	00:00	45	137.5	30	60	107.5	227.5
wnp_389	2000-03-11	18:00	42.5	195	30	60	165	285
wnp_390	2000-11-08	00:00	42.5	185	30	60	155	275
wnp_391	2000-11-13	06:00	42.5	157.5	30	60	127.5	247.5
wnp_392	2000-12-01	00:00	42.5	172.5	30	60	142.5	262.5
wnp_393	2000-12-03	18:00	40	190	30	60	160	280
wnp_394	2000-12-05	06:00	42.5	142.5	30	60	112.5	232.5
wnp_395	2000-12-06	00:00	42.5	157.5	30	60	127.5	247.5
wnp_396	2000-12-09	18:00	45	177.5	30	60	147.5	267.5
wnp_397	2000-12-16	06:00	45	145	30	60	115	235
wnp_398	2000-12-18	00:00	45	185	30	60	155	275
wnp_399	2000-12-19	06:00	40	145	30	60	115	235
wnp_400	2000-12-21	06:00	45	145	30	60	115	235
wnp_401	2000-12-23	18:00	42.5	142.5	30	60	112.5	232.5
wnp_402	2000-12-31	06:00	42.5	140	30	60	110	230
wnp_403	2001-01-07	06:00	40	185	30	60	155	275
wnp_404	2001-01-09	18:00	42.5	140	30	60	110	230
wnp_405	2001-01-11	06:00	45	165	30	60	135	255
wnp_406	2001-01-19	18:00	40	177.5	30	60	147.5	267.5
wnp_407	2001-01-25	00:00	42.5	185	30	60	155	275
wnp_408	2001-01-26	18:00	42.5	165	30	60	135	255
wnp_409	2001-02-01	06:00	42.5	140	30	60	110	230
wnp_410	2001-02-02	06:00	45	157.5	30	60	127.5	247.5
wnp_411	2001-02-07	06:00	45	172.5	30	60	142.5	262.5
wnp_412	2001-02-10	18:00	45	152.5	30	60	122.5	242.5
wnp_413	2001-02-22	06:00	42.5	190	30	60	160	280
wnp_414	2001-03-05	06:00	40	155	30	60	125	245
wnp_415	2001-03-15	00:00	42.5	145	30	60	115	235
wnp_416	2001-03-18	06:00	40	150	30	60	120	240
wnp_417	2001-03-25	06:00	40	180	30	60	150	270
wnp_418	2001-03-25	18:00	45	135	30	60	105	225
wnp_419	2001-03-30	00:00	40	152.5	30	60	122.5	242.5
wnp_420	2001-11-06	06:00	45	150	30	60	120	240
wnp_421	2001-11-18	18:00	42.5	180	30	60	150	270
wnp_422	2001-11-26	18:00	40	167.5	30	60	137.5	257.5
wnp_423	2001-11-30	06:00	42.5	150	30	60	120	240
